Date,High,Low,Open,Close,Volume,Adj Close
2002-01-02,1188.47998046875,1183.1500244140625,1183.1500244140625,1185.75,0.0,1185.75
2002-01-03,1196.8800048828125,1185.52001953125,1185.75,1195.9300537109375,0.0,1195.9300537109375
2002-01-04,1211.18994140625,1195.0999755859375,1195.9300537109375,1203.3800048828125,0.0,1203.3800048828125
2002-01-07,1204.3299560546875,1186.93994140625,1204.3299560546875,1188.949951171875,0.0,1188.949951171875
2002-01-08,1190.1300048828125,1167.8900146484375,1188.949951171875,1168.010009765625,0.0,1168.010009765625
2002-01-09,1168.010009765625,1146.949951171875,1168.010009765625,1148.1300048828125,0.0,1148.1300048828125
2002-01-10,1155.22998046875,1137.5999755859375,1148.489990234375,1152.0400390625,0.0,1152.0400390625
2002-01-11,1164.9300537109375,1151.2099609375,1152.0400390625,1154.1600341796875,0.0,1154.1600341796875
2002-01-14,1154.280029296875,1140.3199462890625,1154.1600341796875,1140.3199462890625,0.0,1140.3199462890625
2002-01-15,1153.3399658203125,1139.8499755859375,1140.43994140625,1140.800048828125,0.0,1140.800048828125
2002-01-16,1143.75,1137.719970703125,1140.800048828125,1137.9599609375,0.0,1137.9599609375
2002-01-17,1145.760009765625,1137.25,1137.9599609375,1145.4100341796875,0.0,1145.4100341796875
2002-01-18,1147.6600341796875,1139.489990234375,1145.2900390625,1142.2099609375,0.0,1142.2099609375
2002-01-21,1143.6300048828125,1139.3800048828125,1142.3299560546875,1143.52001953125,0.0,1143.52001953125
2002-01-22,1146.0,1141.27001953125,1143.52001953125,1143.8699951171875,0.0,1143.8699951171875
2002-01-23,1144.5799560546875,1141.3900146484375,1143.989990234375,1143.6300048828125,0.0,1143.6300048828125
2002-01-24,1159.8399658203125,1143.6300048828125,1143.6300048828125,1157.7099609375,0.0,1157.7099609375
2002-01-25,1157.5999755859375,1149.7900390625,1157.5999755859375,1154.8699951171875,0.0,1154.8699951171875
2002-01-28,1156.4100341796875,1151.3299560546875,1154.989990234375,1152.1500244140625,0.0,1152.1500244140625
2002-01-29,1156.1800537109375,1150.969970703125,1152.1500244140625,1155.1099853515625,0.0,1155.1099853515625
2002-01-30,1155.1099853515625,1146.8299560546875,1155.1099853515625,1149.31005859375,0.0,1149.31005859375
2002-01-31,1158.6600341796875,1150.3800048828125,1152.739990234375,1153.0999755859375,0.0,1153.0999755859375
2002-02-01,1158.780029296875,1153.9300537109375,1154.050048828125,1156.77001953125,0.0,1156.77001953125
2002-02-04,1161.1500244140625,1149.4300537109375,1156.77001953125,1150.72998046875,0.0,1150.72998046875
2002-02-05,1150.8499755859375,1134.6400146484375,1150.72998046875,1136.8900146484375,0.0,1136.8900146484375
